"uSeed","l2.dist","Model","N","phi","T","sim.Seed","Rep","sim.Path","sim.File"
41967,"Gaussian","Chi2AR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-41967_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
41974,"Chi2","Chi2AR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-41974_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
41978,"Gaussian","DAR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-41978_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
41985,"Chi2","DAR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-41985_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
41989,"Gaussian","PoDAR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-41989_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
41996,"Chi2","PoDAR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-41996_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
42000,"Gaussian","NAR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-42000_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
42007,"Chi2","NAR",100,0.4,30,0,4,"simulation-files/sim-files","sim_uSeed-42007_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-4.rds"
43286,"Gaussian","BinAR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43286_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43293,"Chi2","BinAR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43293_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43297,"Gaussian","Chi2AR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43297_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43304,"Chi2","Chi2AR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43304_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43308,"Gaussian","DAR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43315,"Chi2","DAR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43319,"Gaussian","PoDAR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43319_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43326,"Chi2","PoDAR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43326_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43330,"Gaussian","NAR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43330_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
43337,"Chi2","NAR",100,0.4,100,0,4,"simulation-files/sim-files","sim_uSeed-43337_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-4.rds"
51956,"Gaussian","BinAR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-51956_l2.dist-Gaussian_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
51963,"Chi2","BinAR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-51963_l2.dist-Chi2_Model-BinAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
51967,"Gaussian","Chi2AR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-51967_l2.dist-Gaussian_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
51974,"Chi2","Chi2AR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-51974_l2.dist-Chi2_Model-Chi2AR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
51978,"Gaussian","DAR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-51978_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
51985,"Chi2","DAR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-51985_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
51989,"Gaussian","PoDAR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-51989_l2.dist-Gaussian_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
51996,"Chi2","PoDAR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-51996_l2.dist-Chi2_Model-PoDAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
52000,"Gaussian","NAR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-52000_l2.dist-Gaussian_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
52007,"Chi2","NAR",100,0.4,30,0,5,"simulation-files/sim-files","sim_uSeed-52007_l2.dist-Chi2_Model-NAR_N-100_phi-0.4_T-30_sim.Seed-0_Rep-5.rds"
